Pin: U\n	{"Pref"={"Pin"="U"}}
Pin-Priority: 698\n\n# :ZB\n\nPackage: \n\nPin: \n	{"Pref"={"Pin-Priority"="698"}}{"Pref"={"#comment"=":ZB"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}
Package: \n\nPin: Nb\n	{"Pref"={"Package"=""}}{"Pref"={"Pin"="Nb"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# \n	{"Pref"={"#comment"=""}}
Pin: Ha\n\n# C\n	{"Pref"={"Pin"="Ha"}}{"Pref"={"#comment"="C"}}
Package: *\n\nPackage: A\n\nPin-Priority: 3\n\n# kN'8M\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="A"}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"#comment"="kN'8M"}}
Package: \n\nExplanation: \n	{"Pref"={"Package"=""}}{"Pref"={"Explanation"=""}}
# U:w\n\nExplanation: 5/wY4L\n\n# \n	{"Pref"={"#comment"="U:w"}}{"Pref"={"Explanation"="5/wY4L"}}{"Pref"={"#comment"=""}}
Pin: /\n\nPin-Priority: 9875\n\nPin: ly/\n\nExplanation: WK\n\nPackage: _A\n\nPackage: \n\nPin: 7Ore\n\nPin-Priority: 7578\n\nPin: B:3\n\nPin-Priority: 9090\n\nExplanation: \n	{"Pref"={"Pin"="/"}}{"Pref"={"Pin-Priority"="9875"}}{"Pref"={"Pin"="ly/"}}{"Pref"={"Explanation"="WK"}}{"Pref"={"Package"="_A"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="7Ore"}}{"Pref"={"Pin-Priority"="7578"}}{"Pref"={"Pin"="B:3"}}{"Pref"={"Pin-Priority"="9090"}}{"Pref"={"Explanation"=""}}
Pin: a'\n	{"Pref"={"Pin"="a'"}}
Package: *\n\n# MN=0=JSKEe\n\nPin: b_yI\n\nPackage: \n\nExplanation: '-Zc-\n\nPin-Priority: 58\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="MN=0=JSKEe"}}{"Pref"={"Pin"="b_yI"}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"="'-Zc-"}}{"Pref"={"Pin-Priority"="58"}}{"Pref"={"Package"="*"}}
Package: *\n\nPin: \n\nPin: \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: A'\n\nPackage: *\n\nExplanation: HkW60:hNLKo0y4\n\nPin: \n\nPin-Priority: 9\n	{"Pref"={"Pin"="A'"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="HkW60:hNLKo0y4"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="9"}}
# 88-\n\n# 2tKjx\n\nPackage: *\n\nExplanation: F\n\n# \n\nExplanation: H\n\nPin: ja\n	{"Pref"={"#comment"="88-"}}{"Pref"={"#comment"="2tKjx"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="F"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="H"}}{"Pref"={"Pin"="ja"}}
Pin: F\n	{"Pref"={"Pin"="F"}}
Explanation: xk\n\n# \n\nPin: \n\nPin-Priority: 76942\n\n# \n\nPackage: \n\nPin: \n	{"Pref"={"Explanation"="xk"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="76942"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}
Pin: 7V:Crq\n\nExplanation: \n	{"Pref"={"Pin"="7V:Crq"}}{"Pref"={"Explanation"=""}}
Pin: ADBvqI\n	{"Pref"={"Pin"="ADBvqI"}}
Package: /\n	{"Pref"={"Package"="/"}}
Pin: _\n\nPin-Priority: 5\n	{"Pref"={"Pin"="_"}}{"Pref"={"Pin-Priority"="5"}}
# =\n\nPackage: *\n	{"Pref"={"#comment"="="}}{"Pref"={"Package"="*"}}
Pin-Priority: 1\n\nPackage: *\n\nPin: \n\n# \n\nExplanation: Y'\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="Y'"}}
Explanation: U-\n\nExplanation: 2+\n	{"Pref"={"Explanation"="U-"}}{"Pref"={"Explanation"="2+"}}
Explanation: NA\n\nPin: scT\n\nPin-Priority: 2\n	{"Pref"={"Explanation"="NA"}}{"Pref"={"Pin"="scT"}}{"Pref"={"Pin-Priority"="2"}}
Package: *\n\nPackage: \n\nPackage: \n	{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}{"Pref"={"Package"=""}}
Pin: r2+\n	{"Pref"={"Pin"="r2+"}}
Pin: \n\nExplanation:  \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=" "}}
Pin: H\n\nPin: mI\n\nPin-Priority: 3\n	{"Pref"={"Pin"="H"}}{"Pref"={"Pin"="mI"}}{"Pref"={"Pin-Priority"="3"}}
# J6t\n	{"Pref"={"#comment"="J6t"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: v\n\nExplanation: h\n	{"Pref"={"Pin"="v"}}{"Pref"={"Explanation"="h"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 0\n	{"Pref"={"Pin-Priority"="0"}}
# 2k\n\nExplanation: 988N\n	{"Pref"={"#comment"="2k"}}{"Pref"={"Explanation"="988N"}}
Pin-Priority: 7774380\n	{"Pref"={"Pin-Priority"="7774380"}}
# y\n\nPackage: *\n\n# NW'RU\n	{"Pref"={"#comment"="y"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="NW'RU"}}
Pin-Priority: 963\n	{"Pref"={"Pin-Priority"="963"}}
Pin-Priority: 45\n\nPin: \n\nExplanation: h9V\n	{"Pref"={"Pin-Priority"="45"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="h9V"}}
Pin: 8\n\nPackage: lL\n\nPackage: *\n	{"Pref"={"Pin"="8"}}{"Pref"={"Package"="lL"}}{"Pref"={"Package"="*"}}
# F\n\n# Kg\n\nPackage: N\n	{"Pref"={"#comment"="F"}}{"Pref"={"#comment"="Kg"}}{"Pref"={"Package"="N"}}
Pin-Priority: 4581596\n\nPin: bFMAC\n\n# \n	{"Pref"={"Pin-Priority"="4581596"}}{"Pref"={"Pin"="bFMAC"}}{"Pref"={"#comment"=""}}
# wB0\n	{"Pref"={"#comment"="wB0"}}
Package: oAQh\n\nPin-Priority: 3\n	{"Pref"={"Package"="oAQh"}}{"Pref"={"Pin-Priority"="3"}}
Package: F\n	{"Pref"={"Package"="F"}}
Pin: GRc 9\n	{"Pref"={"Pin"="GRc 9"}}
Package: *\n\nPackage: +cd=\n\nPin: +\n\n# \n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="+cd="}}{"Pref"={"Pin"="+"}}{"Pref"={"#comment"=""}}
# \n\nPackage: *\n\nExplanation: \n\nPin-Priority: 5\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="5"}}
Explanation: \n\n# O\n\nPin-Priority: 9\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="O"}}{"Pref"={"Pin-Priority"="9"}}
Package: *\n\nPin-Priority: 58214\n\nPackage: H5\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="58214"}}{"Pref"={"Package"="H5"}}
Pin: \n\nExplanation: q\n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="q"}}
Explanation: \n\nExplanation: \n\nPackage: rC\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="rC"}}
Pin: B6\n\n# FWkttkvU7\n\nPackage: \n\nPin: 5\n	{"Pref"={"Pin"="B6"}}{"Pref"={"#comment"="FWkttkvU7"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="5"}}
# \n\nPin: \n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}
Package: PG\n	{"Pref"={"Package"="PG"}}
Package: 1u\n	{"Pref"={"Package"="1u"}}
Pin-Priority: 92\n	{"Pref"={"Pin-Priority"="92"}}
Explanation: :K\n\nPin-Priority: 185\n	{"Pref"={"Explanation"=":K"}}{"Pref"={"Pin-Priority"="185"}}
Explanation: Xq7\n	{"Pref"={"Explanation"="Xq7"}}
# \n\n# \n\n# 82WustLq\n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="82WustLq"}}
Pin-Priority: 6\n\n# \n\nPackage: YYuA\n	{"Pref"={"Pin-Priority"="6"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="YYuA"}}
Explanation: j"R8\n\nPackage: h\n\nPackage: *\n\n# c\n\n# :\n\nPin-Priority: 98\n\nPin: \n\nPackage: *\n	{"Pref"={"Explanation"="j"R8"}}{"Pref"={"Package"="h"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="c"}}{"Pref"={"#comment"=":"}}{"Pref"={"Pin-Priority"="98"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Package: *\n\n# UNc\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="UNc"}}
Pin: \n\nPin-Priority: 30011\n\nPin-Priority: 4\n\n# w\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="30011"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"#comment"="w"}}
Explanation: 7HR\n	{"Pref"={"Explanation"="7HR"}}
Pin-Priority: 5\n	{"Pref"={"Pin-Priority"="5"}}
# \n\nExplanation: \n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}
Pin: 4v'1\n	{"Pref"={"Pin"="4v'1"}}
Pin-Priority: 200\n\nPackage: \n\n# .\n	{"Pref"={"Pin-Priority"="200"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"="."}}
Explanation: CoGr2NZ\n\n# \n\nExplanation: R\n\n# 8\n	{"Pref"={"Explanation"="CoGr2NZ"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="R"}}{"Pref"={"#comment"="8"}}
Explanation: F\n	{"Pref"={"Explanation"="F"}}
Package: \n\nPackage: *\n	{"Pref"={"Package"=""}}{"Pref"={"Package"="*"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 811377\n\n# \n	{"Pref"={"Pin-Priority"="811377"}}{"Pref"={"#comment"=""}}
Pin: a\n	{"Pref"={"Pin"="a"}}
Explanation: CX_A'\n\nExplanation: iA\n\nPin: \n\nPin-Priority: 39\n	{"Pref"={"Explanation"="CX_A'"}}{"Pref"={"Explanation"="iA"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="39"}}
Pin-Priority: 1\n\nPin-Priority: 7\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin-Priority"="7"}}
Package: -\n\nExplanation: sBJM\n\nPin-Priority: 0958\n\nPackage: *\n\nPin: A\n\n# oIHu\n\nPackage: *\n	{"Pref"={"Package"="-"}}{"Pref"={"Explanation"="sBJM"}}{"Pref"={"Pin-Priority"="0958"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="A"}}{"Pref"={"#comment"="oIHu"}}{"Pref"={"Package"="*"}}
Pin-Priority: 45\n\nPackage: *\n\n# +\n\nPin: Ki\n	{"Pref"={"Pin-Priority"="45"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="+"}}{"Pref"={"Pin"="Ki"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: \n\nPackage: *\n	{"Pref"={"Package"=""}}{"Pref"={"Package"="*"}}
# \n\nPin: H \n\n# t\n\nPin-Priority: 7\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"="H "}}{"Pref"={"#comment"="t"}}{"Pref"={"Pin-Priority"="7"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 3\n\nPackage: *\n	{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Package"="*"}}
Pin: \n\n# +bZ\n\nPin: Y_\n\nPin-Priority: 30\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="+bZ"}}{"Pref"={"Pin"="Y_"}}{"Pref"={"Pin-Priority"="30"}}
Pin: kT\n\nPin-Priority: 7\n\n# sG\n\nPin: tap7\n	{"Pref"={"Pin"="kT"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"#comment"="sG"}}{"Pref"={"Pin"="tap7"}}
Package: \n\nPin: \n\nPin-Priority: 5\n	{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="5"}}
# :V=1'45\n\nPin: \n\nExplanation: \n\nPin: \n\nPin-Priority: 8478\n\nPin-Priority: 634\n\nPin-Priority: 7\n	{"Pref"={"#comment"=":V=1'45"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="8478"}}{"Pref"={"Pin-Priority"="634"}}{"Pref"={"Pin-Priority"="7"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: 2xP=cQ\n	{"Pref"={"Package"="2xP=cQ"}}
Pin: \n\nPin: v\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="v"}}
Pin-Priority: 864\n\nPin: Y\n\nPin-Priority: 79\n	{"Pref"={"Pin-Priority"="864"}}{"Pref"={"Pin"="Y"}}{"Pref"={"Pin-Priority"="79"}}
Pin-Priority: 557\n	{"Pref"={"Pin-Priority"="557"}}
# \n	{"Pref"={"#comment"=""}}
# \n	{"Pref"={"#comment"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: h\n	{"Pref"={"Pin"="h"}}
Explanation: i\n	{"Pref"={"Explanation"="i"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 8\n\nPin-Priority: 7\n\nPackage: *\n\nPin-Priority: 295\n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="295"}}
Package: d\n\n# \n\nPin-Priority: 9\n\n# \n	{"Pref"={"Package"="d"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="9"}}{"Pref"={"#comment"=""}}
Pin-Priority: 83\n\n# \n	{"Pref"={"Pin-Priority"="83"}}{"Pref"={"#comment"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: \n\nPin-Priority: 492\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="492"}}
Pin-Priority: 354\n	{"Pref"={"Pin-Priority"="354"}}
# \n	{"Pref"={"#comment"=""}}
Package: *\n\nPin-Priority: 12\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="12"}}
Pin: Y:\n	{"Pref"={"Pin"="Y:"}}
# fsr\n	{"Pref"={"#comment"="fsr"}}
# \n	{"Pref"={"#comment"=""}}
# +j\n	{"Pref"={"#comment"="+j"}}
Explanation: \n\n# s\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="s"}}
Package: ynf\n	{"Pref"={"Package"="ynf"}}
# W\n\nPackage: *\n\nPin: \n	{"Pref"={"#comment"="W"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}
# \n\n# yf\n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"="yf"}}
Package: *\n\nPackage: \n\nPackage: F\n\nPin-Priority: 28\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}{"Pref"={"Package"="F"}}{"Pref"={"Pin-Priority"="28"}}
Package: \n\nExplanation: \n\n# \n	{"Pref"={"Package"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}
Pin-Priority: 253\n\n# \n	{"Pref"={"Pin-Priority"="253"}}{"Pref"={"#comment"=""}}
Explanation: 4Ja\n\nExplanation: 3T"i\n\nPin: \n	{"Pref"={"Explanation"="4Ja"}}{"Pref"={"Explanation"="3T"i"}}{"Pref"={"Pin"=""}}
Explanation: hj3\n\nPin-Priority: 1\n\nExplanation: IP\n\nExplanation: \n	{"Pref"={"Explanation"="hj3"}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Explanation"="IP"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 6\n	{"Pref"={"Pin-Priority"="6"}}
# \n	{"Pref"={"#comment"=""}}
Pin: \n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Pin-Priority: 2764\n	{"Pref"={"Pin-Priority"="2764"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# .7Z\n\n# \n\n# d\n	{"Pref"={"#comment"=".7Z"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="d"}}
Pin: \n\nPin-Priority: 467\n\nPackage: \n\nPin: \n\nPin: 3R\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="467"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="3R"}}
# EI\n\nPackage: *\n\nPin: 5u\n\nPackage: *\n\nPackage: b2P\n	{"Pref"={"#comment"="EI"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="5u"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="b2P"}}
# Q\n	{"Pref"={"#comment"="Q"}}
Package: *\n\nPin: \n\nPin-Priority: 71921437\n\nExplanation: \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="71921437"}}{"Pref"={"Explanation"=""}}
Explanation: \n\nExplanation: 96p\n\nPin: le\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="96p"}}{"Pref"={"Pin"="le"}}
Package: k8:\n\n# EH6i\n\nExplanation: \n\nPin-Priority: 470\n	{"Pref"={"Package"="k8:"}}{"Pref"={"#comment"="EH6i"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="470"}}
Package: \n\nPin-Priority: 17\n\n# \n\nPin-Priority: 20\n\nPin: \n\nPackage: *\n	{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="17"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="20"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Pin: \n\n# =.v\n\nPackage: Qek\n\nPin-Priority: 4\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="=.v"}}{"Pref"={"Package"="Qek"}}{"Pref"={"Pin-Priority"="4"}}
Explanation: \n\nPin-Priority: 2\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="2"}}
Explanation: 1\n	{"Pref"={"Explanation"="1"}}
Explanation: Ui\n\nExplanation: \n\n# 85\n	{"Pref"={"Explanation"="Ui"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="85"}}
Pin-Priority: 5\n	{"Pref"={"Pin-Priority"="5"}}
Explanation: \n\nPackage: *\n\n# \n\nPin-Priority: 7617659\n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="7617659"}}
# \n	{"Pref"={"#comment"=""}}
Pin-Priority: 24\n	{"Pref"={"Pin-Priority"="24"}}
Pin: \n\nPin: u\n\nPin-Priority: 87587\n\nPackage: *\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="u"}}{"Pref"={"Pin-Priority"="87587"}}{"Pref"={"Package"="*"}}
Pin: \n\nPin-Priority: 1\n\nPin-Priority: 304999\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin-Priority"="304999"}}
Package: \n\nExplanation: M\n	{"Pref"={"Package"=""}}{"Pref"={"Explanation"="M"}}
# q3\n\nPin: 2\n	{"Pref"={"#comment"="q3"}}{"Pref"={"Pin"="2"}}
# e2U2\n\n# \n\n# Xxsd\n	{"Pref"={"#comment"="e2U2"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="Xxsd"}}
Pin-Priority: 0081826\n	{"Pref"={"Pin-Priority"="0081826"}}
Pin-Priority: 64\n	{"Pref"={"Pin-Priority"="64"}}
# \n\nPackage: *\n\nPin-Priority: 6\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="6"}}
# \n\nPin-Priority: 4\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="4"}}
Pin: \n\nPin: \n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}
Pin-Priority: 18998925\n\nPin: \n\nExplanation: \n	{"Pref"={"Pin-Priority"="18998925"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Explanation: "\n	{"Pref"={"Explanation"="""}}
# 'gV\n\nExplanation: y\n	{"Pref"={"#comment"="'gV"}}{"Pref"={"Explanation"="y"}}
Package: W\n\nPin-Priority: 4\n\n# \n	{"Pref"={"Package"="W"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"#comment"=""}}
Explanation: \n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
Pin-Priority: 4\n	{"Pref"={"Pin-Priority"="4"}}
Package: *\n\n# \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 78\n\n# nn\n	{"Pref"={"Pin-Priority"="78"}}{"Pref"={"#comment"="nn"}}
# T\n	{"Pref"={"#comment"="T"}}
Pin: \n\nPackage: \n\nPin: l\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="l"}}
# x\n\nExplanation: \n	{"Pref"={"#comment"="x"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 43\n\nPin: \n\nPackage: 8i\n\nPin-Priority: 5\n\nPackage: \n\nPin-Priority: 9\n\nPackage: \n\n# q\n	{"Pref"={"Pin-Priority"="43"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="8i"}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="9"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"="q"}}
Explanation: \n\nPin-Priority: 68\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="68"}}
Pin: P=\n	{"Pref"={"Pin"="P="}}
# \n	{"Pref"={"#comment"=""}}
Pin: ck\n	{"Pref"={"Pin"="ck"}}
Pin: \n\nPin: Cz\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="Cz"}}
Pin-Priority: 1\n\nPin-Priority: 686\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin-Priority"="686"}}
Package: *\n\nPin: dv/B\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="dv/B"}}
Pin: 8i\n\nExplanation: \n\n# w\n\n# \n\nPackage: *\n\nPin: E+/81BlW\n\nExplanation: Zjm\n	{"Pref"={"Pin"="8i"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="w"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="E+/81BlW"}}{"Pref"={"Explanation"="Zjm"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# r\n\nPackage: *\n\nPin: qATvj\n\nPin-Priority: 8333\n	{"Pref"={"#comment"="r"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="qATvj"}}{"Pref"={"Pin-Priority"="8333"}}
# MS\n\nExplanation: d\n	{"Pref"={"#comment"="MS"}}{"Pref"={"Explanation"="d"}}
Package: *\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Package: *\n\n# mWg\n\n# s\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="mWg"}}{"Pref"={"#comment"="s"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 73\n\nPin-Priority: 429\n	{"Pref"={"Pin-Priority"="73"}}{"Pref"={"Pin-Priority"="429"}}
Pin: \n	{"Pref"={"Pin"=""}}
# \n\n# \n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
Explanation: +TA\n	{"Pref"={"Explanation"="+TA"}}
Pin-Priority: 1\n\n# \n\nPin: \n\nPin-Priority: 1\n\n# I\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"#comment"="I"}}
Package: d/bXM\n\n# -\n\n# \n	{"Pref"={"Package"="d/bXM"}}{"Pref"={"#comment"="-"}}{"Pref"={"#comment"=""}}
Pin: \n\nPackage: ye\n\nPin-Priority: 48363\n\nExplanation: g\n\nPin: m4\n\nPin: \n\nPackage: \n\nExplanation: zC\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="ye"}}{"Pref"={"Pin-Priority"="48363"}}{"Pref"={"Explanation"="g"}}{"Pref"={"Pin"="m4"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"="zC"}}
# r2\n	{"Pref"={"#comment"="r2"}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: 6\n\n# \n\nPin: K\n\n# \n\nExplanation: \n\nPackage: *\n\nPackage: *\n\n# Qf\n\nPin-Priority: 0\n\nExplanation: \n\nPin: \n	{"Pref"={"Explanation"="6"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="K"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="Qf"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
# NUpTNr1q\n	{"Pref"={"#comment"="NUpTNr1q"}}
Explanation: \n\nPin-Priority: 7536144\n\n# k\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="7536144"}}{"Pref"={"#comment"="k"}}
Explanation: '\n\nPin: \n\nPin-Priority: 6\n\nPin-Priority: 5\n	{"Pref"={"Explanation"="'"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin-Priority"="5"}}
Package: I-/ij\n\nExplanation: AFh05M\n\n# \n\nPin: 02t0/\n	{"Pref"={"Package"="I-/ij"}}{"Pref"={"Explanation"="AFh05M"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="02t0/"}}
# \n\nExplanation: \n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}
Package: *\n\nPackage: \n\n# 8\n\nPin-Priority: 52\n\nExplanation: \n	{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"="8"}}{"Pref"={"Pin-Priority"="52"}}{"Pref"={"Explanation"=""}}
Explanation: \n\nPin-Priority: 53\n\nPin-Priority: 38960\n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="53"}}{"Pref"={"Pin-Priority"="38960"}}{"Pref"={"Package"="*"}}
# /\n\nPin-Priority: 3\n\nPackage: *\n\n# \n\n# \n	{"Pref"={"#comment"="/"}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
Package: m\n	{"Pref"={"Package"="m"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: UtmgH\n\nExplanation: \n	{"Pref"={"Package"="UtmgH"}}{"Pref"={"Explanation"=""}}
Explanation: \n\n# 1 \n\nExplanation: \n\nPackage: *\n\nPackage: D\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="1 "}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="D"}}
Pin-Priority: 4\n	{"Pref"={"Pin-Priority"="4"}}
