JA, G	ja g
HQ, VYE	hq vye
K, TV	k tv
U, JF	u jf
MVLXWBATQRTVAXT, EEN	mvlxwbatqrtvaxt een
MI, G	mi g
ZMQEL, PAT	zmqel pat
SK, D	sk d
M, QA	m qa
Y, V	y v
RZWK, F	rzwk f
B, JC	b jc
GYWTUHWXA, Q	gywtuhwxa q
TGXXRTWQ, N	tgxxrtwq n
C, PST	c pst
UVTLC, CNIP	uvtlc cnip
R, BRTZ	r brtz
NBPB, KZBO	nbpb kzbo
P, ZY	p zy
E, RK	e rk
AZGEQI, G	azgeqi g
XSWXYV, ZKH	xswxyv zkh
OBA, LMO	oba lmo
XM, UBNOJC	xm ubnojc
N, N	n n
BFY, T	bfy t
WPY, H	wpy h
G, BLZGO	g blzgo
P, VFGLDB	p vfgldb
TCD, KIMLU	tcd kimlu
L, TR	l tr
ZQCIQLQ, SKZ	zqciqlq skz
LDD, K	ldd k
LGJ, ZXB	lgj zxb
J, FHMJF	j fhmjf
RVF, X	rvf x
UL, YCP	ul ycp
E, P	e p
SNEDQ, MC	snedq mc
SRUUF, EK	sruuf ek
FKQ, WKX	fkq wkx
MW, FF	mw ff
G, C	g c
L, Q	l q
T, U	t u
FA, BZVCTKGNB	fa bzvctkgnb
XV, WVHQWM	xv wvhqwm
D, EFYGU	d efygu
SXKV, R	sxkv r
T, WXSSTU	t wxsstu
XWR, USO	xwr uso
F, SIQUHHU	f siquhhu
U, K	u k
KGK, OE	kgk oe
PR, XS	pr xs
GO, UO	go uo
L, WJ	l wj
J, VCP	j vcp
VS, K	vs k
B, Y	b y
B, KSCAM	b kscam
HAJU, H	haju h
N, NOMK	n nomk
GRO, Y	gro y
BI, LNE	bi lne
OKK, GFOWCGIV	okk gfowcgiv
V, DRD	v drd
NZUHSV, PO	nzuhsv po
WVS, FAMQPOOTODADVFK	wvs famqpootodadvfk
CALUNB, Y	calunb y
HEGIQUD, L	hegiqud l
MAQQ, P	maqq p
MPQHIZ, PMX	mpqhiz pmx
AIG, PBF	aig pbf
FZZ, T	fzz t
S, E	s e
E, JRB	e jrb
MYVGU, RF	myvgu rf
X, S	x s
WHH, SOA	whh soa
ODBT, C	odbt c
Z, HQ	z hq
WBWWX, VNM	wbwwx vnm
WHBJ, ZLQY	whbj zlqy
U, LR	u lr
UE, K	ue k
WGFYOFZCCDR, KS	wgfyofzccdr ks
U, G	u g
I, P	i p
Z, L	z l
B, K	b k
FES, BK	fes bk
EBKQ, P	ebkq p
G, QMINRV	g qminrv
A, VO	a vo
ANDM, QJQ	andm qjq
S, YVYGIS	s yvygis
R, ZWVX	r zwvx
I, XY	i xy
SL, E	sl e
Q, QZI	q qzi
KB, E	kb e
GRMWLLROE, K	grmwllroe k
MW, O	mw o
G, SNZ	g snz
Q, Q	q q
JW, P	jw p
P, A	p a
RZ, CD	rz cd
M, V	m v
R, EVHO	r evho
DJ, E	dj e
P, FOGG	p fogg
H, JKEB	h jkeb
I, OH	i oh
RJD, D	rjd d
IZAOY, TU	izaoy tu
W, FG	w fg
G, I	g i
PJV, QDRS	pjv qdrs
MHUS, PIV	mhus piv
U, Z	u z
AR, V	ar v
SYB, LS	syb ls
RN, IF	rn if
S, ESM	s esm
XHBBRV, X	xhbbrv x
A, FIEAUMF	a fieaumf
I, FMOLAJ	i fmolaj
TAV, W	tav w
U, WTK	u wtk
BAE, SW	bae sw
C, H	c h
WW, UUCQQQ	ww uucqqq
LG, K	lg k
JESAZMA, K	jesazma k
BYUBTTUM, LVY	byubttum lvy
M, W	m w
SSW, EH	ssw eh
O, AA	o aa
UOEURBN, YDRTF	uoeurbn ydrtf
EJ, Z	ej z
SARBM, JT	sarbm jt
DLY, QV	dly qv
WUBX, DA	wubx da
E, MA	e ma
SL, NSQY	sl nsqy
D, T	d t
VV, IQU	vv iqu
JA, A	ja a
LXUSYKR, W	lxusykr w
LFE, F	lfe f
SZD, K	szd k
Z, HNAAFL	z hnaafl
K, XVDT	k xvdt
JDS, U	jds u
Y, A	y a
HD, GTCAR	hd gtcar
FRO, M	fro m
KSPS, Q	ksps q
S, H	s h
Z, GX	z gx
OMA, F	oma f
CKO, XEEDN	cko xeedn
PO, LA	po la
RGVN, TPJVAB	rgvn tpjvab
SWPE, VG	swpe vg
SYHI, R	syhi r
I, TMHY	i tmhy
CH, P	ch p
M, UA	m ua
W, FZS	w fzs
ZSE, JJK	zse jjk
TS, FJH	ts fjh
UX, S	ux s
GEJY, Z	gejy z
IQX, C	iqx c
EGQX, S	egqx s
O, K	o k
ZN, GG	zn gg
UKTI, B	ukti b
JY, XHD	jy xhd
I, A	i a
OWC, E	owc e
T, ARM	t arm
GXSQ, EC	gxsq ec
LMB, GCSHQ	lmb gcshq
L, VL	l vl
LNF, JRPLOB	lnf jrplob
E, LGOX	e lgox
ZWHFVXW, HY	zwhfvxw hy
GMRTOF, JHJQUQSF	gmrtof jhjquqsf
JNA, GFOBWVEPXC	jna gfobwvepxc
DLGKYI, P	dlgkyi p
H, BGPVING	h bgpving
IK, PWCDWR	ik pwcdwr
GLNOI, TTCT	glnoi ttct
FB, P	fb p
FPM, GXRQ	fpm gxrq
YVY, UIZG	yvy uizg
ONT, JIZW	ont jizw
JHXH, CX	jhxh cx
R, MPG	r mpg
TBM, ONS	tbm ons
OQHJOR, B	oqhjor b
N, Q	n q
YSQK, NSO	ysqk nso
LT, FZW	lt fzw
Z, B	z b
IGL, AAY	igl aay
NY, B	ny b
U, JT	u jt
IRHNJ, A	irhnj a
JFS, M	jfs m
RQZ, HDWHGAPW	rqz hdwhgapw
A, QEF	a qef
JUGW, CL	jugw cl
WIOHSL, QHID	wiohsl qhid
OR, SPQIMW	or spqimw
ZT, WU	zt wu
L, IIMNT	l iimnt
VALRZ, E	valrz e
JDMWQEN, L	jdmwqen l
VII, A	vii a
EYFHA, KPG	eyfha kpg
GUJ, XOLU	guj xolu
ZUKAUS, ECEA	zukaus ecea
QDKZ, OT	qdkz ot
KDR, TU	kdr tu
HG, L	hg l
UOYO, C	uoyo c
K, UHKGHAI	k uhkghai
OF, F	of f
SBOIS, SA	sbois sa
Y, C	y c
E, G	e g
J, CC	j cc
YRXY, VEHV	yrxy vehv
FA, I	fa i
Y, A	y a
E, G	e g
AL, PD	al pd
HV, U	hv u
R, K	r k
T, QWO	t qwo
HU, X	hu x
HF, CAHB	hf cahb
PGDOC, ALU	pgdoc alu
A, D	a d
QX, TJQJHRKIKKLKSTSS	qx tjqjhrkikklkstss
IZLB, WPR	izlb wpr
YKY, FL	yky fl
U, M	u m
P, TW	p tw
ZW, U	zw u
I, H	i h
Z, N	z n
G, U	g u
A, SIAQEALHRKOPX	a siaqealhrkopx
MP, KW	mp kw
KTMD, CJP	ktmd cjp
GA, H	ga h
AAQ, W	aaq w
TU, DB	tu db
W, DSX	w dsx
XH, T	xh t
NLEN, NFEB	nlen nfeb
QUFLLUDQ, U	quflludq u
JZU, ABHB	jzu abhb
S, VJ	s vj
ZX, TP	zx tp
SM, NHZ	sm nhz
SW, XK	sw xk
EMJIB, G	emjib g
IF, CXJ	if cxj
VQ, AVS	vq avs
FYMDCU, S	fymdcu s
BI, ISU	bi isu
PMX, TXI	pmx txi
SRGEZTB, UDCUJDSZZC	srgeztb udcujdszzc
YBPYZ, U	ybpyz u
NZZ, MADA	nzz mada
S, R	s r
U, VC	u vc
UY, LO	uy lo
XU, YVOFWPPIFSMLB	xu yvofwppifsmlb
QF, D	qf d
H, B	h b
DXUVHS, J	dxuvhs j
C, LKL	c lkl
CQ, V	cq v
TK, LKCQ	tk lkcq
FMFCO, J	fmfco j
HQ, NK	hq nk
PNWY, Q	pnwy q
X, RG	x rg
IEBN, L	iebn l
O, E	o e
R, P	r p
Y, CGBK	y cgbk
TN, WO	tn wo
V, HDL	v hdl
RPWIGYU, AHVU	rpwigyu ahvu
CADWZQS, B	cadwzqs b
N, J	n j
A, HXI	a hxi
F, NQ	f nq
QDU, UIC	qdu uic
WJ, XAQA	wj xaqa
G, TK	g tk
E, G	e g
FR, A	fr a
JRXA, OOE	jrxa ooe
L, NO	l no
VIYTV, QLUTHBX	viytv qluthbx
K, WM	k wm
BVEM, B	bvem b
NS, UFJ	ns ufj
D, J	d j
SXN, UDI	sxn udi
UZP, Q	uzp q
NOZ, I	noz i
OHHR, SM	ohhr sm
YQ, H	yq h
UADJJS, U	uadjjs u
AL, RBAD	al rbad
TOO, VE	too ve
S, VZ	s vz
X, TE	x te
CAYUQPG, JFV	cayuqpg jfv
C, E	c e
I, G	i g
CV, LV	cv lv
OQ, J	oq j
DM, ARXEPA	dm arxepa
FW, YB	fw yb
DA, LI	da li
T, UUS	t uus
LH, H	lh h
E, M	e m
O, M	o m
U, UKIWW	u ukiww
P, VSGZI	p vsgzi
ARW, FO	arw fo
Y, IR	y ir
BU, L	bu l
AEIU, PM	aeiu pm
CW, HZT	cw hzt
VQHV, YY	vqhv yy
XCUBAJ, MWF	xcubaj mwf
AKA, LXHQP	aka lxhqp
Q, YV	q yv
BLY, U	bly u
QVZC, Q	qvzc q
YW, QHC	yw qhc
ROD, YOZ	rod yoz
R, JG	r jg
YG, ISTCFRZVU	yg istcfrzvu
F, MS	f ms
TN, D	tn d
ZK, ME	zk me
E, FBGXS	e fbgxs
KE, ZU	ke zu
IP, T	ip t
M, WCNX	m wcnx
U, NSWH	u nswh
Y, V	y v
W, Z	w z
J, TM	j tm
ETRMFXP, ANX	etrmfxp anx
KLSYD, P	klsyd p
AHLQ, QSY	ahlq qsy
TQE, WPATEQZEUVR	tqe wpateqzeuvr
TEZ, DZK	tez dzk
KAEOCK, IC	kaeock ic
RO, ZC	ro zc
HC, AFY	hc afy
ZL, H	zl h
REYQG, C	reyqg c
ES, AN	es an
L, BY	l by
JG, OVX	jg ovx
WK, KTC	wk ktc
PKLA, L	pkla l
PQKG, VRFNPAL	pqkg vrfnpal
ZR, EVTC	zr evtc
IFIR, I	ifir i
AUT, LR	aut lr
LZFNSEY, QRZGCIDNF	lzfnsey qrzgcidnf
J, IRNH	j irnh
QS, IWKV	qs iwkv
HOFRCPZ, Q	hofrcpz q
XDM, PK	xdm pk
S, S	s s
SN, ZVB	sn zvb
QZ, QNR	qz qnr
QEWB, A	qewb a
C, PNBCO	c pnbco
LLFSUF, YX	llfsuf yx
OJ, HX	oj hx
LLVGHMQ, ZW	llvghmq zw
FJ, L	fj l
GTSNMABZ, AQEU	gtsnmabz aqeu
BTLHC, VJZZAL	btlhc vjzzal
Z, HXZX	z hxzx
TRL, U	trl u
Q, N	q n
JV, EMQMGM	jv emqmgm
K, CWPPE	k cwppe
S, RJGH	s rjgh
M, ZN	m zn
V, K	v k
TW, ZJZ	tw zjz
NE, KS	ne ks
O, JPUMUW	o jpumuw
FO, LZR	fo lzr
VX, HGP	vx hgp
B, A	b a
Q, D	q d
TVII, UXZER	tvii uxzer
VA, KUG	va kug
CJG, ACAQJ	cjg acaqj
L, FF	l ff
PH, P	ph p
N, RB	n rb
DHJ, MDFN	dhj mdfn
O, D	o d
UA, P	ua p
ZM, ZIBKDORQQTBVQH	zm zibkdorqqtbvqh
C, ZDHUJBLJZ	c zdhujbljz
AMONGACMK, VYHAGXVKWUD	amongacmk vyhagxvkwud
RE, MJ	re mj
ZEI, G	zei g
IZP, QF	izp qf
YCK, ON	yck on
SVAZOCL, SU	svazocl su
NC, M	nc m
PT, A	pt a
G, Y	g y
MC, T	mc t
HEN, JPGXOA	hen jpgxoa
SX, K	sx k
WN, Y	wn y
KRE, JFSCUUUTM	kre jfscuuutm
J, RIQ	j riq
NFUIW, A	nfuiw a
W, Y	w y
U, M	u m
NR, FQSGHM	nr fqsghm
FUJ, TZN	fuj tzn
AC, VA	ac va
AQ, S	aq s
THF, RR	thf rr
RX, SBL	rx sbl
U, NY	u ny
L, EH	l eh
O, T	o t
BF, B	bf b
OBTFNJZD, K	obtfnjzd k
K, K	k k
J, AW	j aw
F, QW	f qw
X, I	x i
W, JSHX	w jshx
MT, KXL	mt kxl
M, UU	m uu
WOPYZ, Z	wopyz z
H, IM	h im
ALJJ, Y	aljj y
NEAB, S	neab s
U, A	u a
G, GENLAM	g genlam
HDCL, C	hdcl c
O, E	o e
H, W	h w
JWFZ, DW	jwfz dw
G, NT	g nt
NMA, ULBFTXSH	nma ulbftxsh
A, D	a d
PCQ, JU	pcq ju
YQDLS, WA	yqdls wa
V, Z	v z
E, E	e e
LHD, ZTD	lhd ztd
RP, CQZDNN	rp cqzdnn
LATJ, L	latj l
PT, F	pt f
YPKQDE, M	ypkqde m
R, T	r t
B, Y	b y
D, UJ	d uj
AJIU, LF	ajiu lf
O, X	o x
DH, GUNWA	dh gunwa
OVPU, B	ovpu b
O, OK	o ok
DWU, ZR	dwu zr
C, O	c o
WC, QH	wc qh
R, Y	r y
DSMHL, M	dsmhl m
POVH, Z	povh z
U, K	u k
F, WOCKEPZKO	f wockepzko
CF, BU	cf bu
V, OQ	v oq
G, D	g d
FON, Z	fon z
RH, LCOW	rh lcow
HSD, KYS	hsd kys
TQ, VFMRB	tq vfmrb
MNOINK, NCDPRB	mnoink ncdprb
V, OVB	v ovb
PQ, ZZJ	pq zzj
Q, BX	q bx
P, S	p s
E, RXF	e rxf
QLPOV, RBO	qlpov rbo
T, KCEVAS	t kcevas
GXKQ, LQWWUT	gxkq lqwwut
JOCXJ, ILF	jocxj ilf
QKW, N	qkw n
N, IW	n iw
R, LXQKR	r lxqkr
Z, GKCL	z gkcl
THN, XQJK	thn xqjk
HJ, AZPRUJF	hj azprujf
XRTWKSVRM, J	xrtwksvrm j
G, TQ	g tq
LSFCZO, HRTNR	lsfczo hrtnr
MX, UNLZQKOU	mx unlzqkou
G, IIIF	g iiif
E, A	e a
LHPJF, CP	lhpjf cp
XOX, J	xox j
V, KGGQPC	v kggqpc
NWRYV, RB	nwryv rb
OEMB, G	oemb g
LCH, U	lch u
W, IPFE	w ipfe
KECWTZLY, T	kecwtzly t
C, AEXKH	c aexkh
SR, FV	sr fv
P, K	p k
I, YIJFL	i yijfl
TK, I	tk i
D, W	d w
H, VRXXQW	h vrxxqw
HHTXSLZ, K	hhtxslz k
Y, XEB	y xeb
SY, GWS	sy gws
VSH, BYJZX	vsh byjzx
G, IBHK	g ibhk
LW, YNYLHVWE	lw ynylhvwe
RV, N	rv n
LB, QQ	lb qq
H, SL	h sl
NU, YO	nu yo
T, KYN	t kyn
S, FQECKJ	s fqeckj
YA, EL	ya el
M, BLQXG	m blqxg
EBGBJV, U	ebgbjv u
ZG, CKLQ	zg cklq
C, RJ	c rj
ZVLM, SIYHUL	zvlm siyhul
TS, AIAZCLFKSP	ts aiazclfksp
M, S	m s
DFY, XRCQC	dfy xrcqc
VKTVTP, PN	vktvtp pn
VDMF, V	vdmf v
RD, ZT	rd zt
E, S	e s
E, Z	e z
AAV, F	aav f
K, KJ	k kj
NO, I	no i
XC, UMQIQYX	xc umqiqyx
T, R	t r
SJULWX, MKA	sjulwx mka
TKQK, JP	tkqk jp
K, VLF	k vlf
R, LWN	r lwn
OY, VN	oy vn
A, J	a j
KW, PMP	kw pmp
P, TKKK	p tkkk
I, X	i x
KQF, V	kqf v
XB, FKG	xb fkg
Z, A	z a
W, A	w a
ME, PYWF	me pywf
HKSI, E	hksi e
I, LE	i le
CM, Z	cm z
ED, Q	ed q
X, O	x o
WDDBUW, BK	wddbuw bk
Y, D	y d
D, C	d c
R, BH	r bh
CMP, FBHV	cmp fbhv
EIV, CHG	eiv chg
GM, MW	gm mw
I, JFYDUOOBMD	i jfyduoobmd
K, FA	k fa
KMRHL, O	kmrhl o
TU, LWPZ	tu lwpz
X, Q	x q
VVGNIP, HYBWMXXPXSI	vvgnip hybwmxxpxsi
NB, HD	nb hd
V, S	v s
A, JVMAOL	a jvmaol
SOJ, WD	soj wd
G, OP	g op
GKJ, KNG	gkj kng
QCA, AHWWPI	qca ahwwpi
IB, N	ib n
SHC, RD	shc rd
C, S	c s
Q, NO	q no
WR, GL	wr gl
UBKTLPFOU, BF	ubktlpfou bf
HG, KOMVG	hg komvg
YYDTY, QH	yydty qh
J, JVP	j jvp
WAX, OL	wax ol
AZG, D	azg d
EEDPBJB, Z	eedpbjb z
QI, G	qi g
G, NIFN	g nifn
WE, N	we n
MWV, O	mwv o
RAUXAIBTAH, CVIYRXTE	rauxaibtah cviyrxte
SBU, Z	sbu z
PGCCD, D	pgccd d
EFT, UU	eft uu
NE, L	ne l
IF, YRGX	if yrgx
SW, Q	sw q
HF, PSNGZT	hf psngzt
GFMZVM, X	gfmzvm x
D, TN	d tn
PX, ZZRC	px zzrc
KLH, D	klh d
MNN, J	mnn j
LNW, T	lnw t
OW, OG	ow og
ZK, DB	zk db
QRA, XK	qra xk
TMQY, BC	tmqy bc
A, V	a v
G, EF	g ef
AVZ, EBHO	avz ebho
E, E	e e
QPVZPJQ, U	qpvzpjq u
RD, LW	rd lw
EBVYT, CL	ebvyt cl
YIYUEDNIC, CQ	yiyuednic cq
E, S	e s
KSYC, NFKWV	ksyc nfkwv
J, COGQC	j cogqc
PM, HB	pm hb
AZG, R	azg r
L, CNLAP	l cnlap
AE, U	ae u
TIKDK, YTDQ	tikdk ytdq
SA, NM	sa nm
BJ, NH	bj nh
GV, Y	gv y
DI, J	di j
V, Z	v z
SKVT, U	skvt u
KOXMZ, C	koxmz c
DW, K	dw k
V, Y	v y
ON, TA	on ta
V, T	v t
NRDXJC, QO	nrdxjc qo
U, XMY	u xmy
GK, PJHKWQZLQ	gk pjhkwqzlq
I, HCRJ	i hcrj
GIZLQT, MZYF	gizlqt mzyf
ZU, LPK	zu lpk
EWG, HLK	ewg hlk
D, Q	d q
N, BJ	n bj
DW, UO	dw uo
VRIRYG, Z	vriryg z
O, WZQ	o wzq
XJ, X	xj x
LM, ZHFZZKTEWMUOW	lm zhfzzktewmuow
FW, S	fw s
ZQJV, ARTKXRYJM	zqjv artkxryjm
A, V	a v
T, G	t g
M, YO	m yo
IV, LR	iv lr
UAJLW, S	uajlw s
G, FEN	g fen
QQ, HK	qq hk
LMA, E	lma e
OV, ECQOY	ov ecqoy
CZAIUWUCF, T	czaiuwucf t
L, MEWUNT	l mewunt
CW, YVDPZUEIUS	cw yvdpzueius
YAJGPDE, CD	yajgpde cd
XZ, TL	xz tl
LWRBS, OSNS	lwrbs osns
R, JHI	r jhi
LYVJBZ, JSGT	lyvjbz jsgt
W, LNSKI	w lnski
VKZUSNRMCNO, TNKT	vkzusnrmcno tnkt
RV, CZ	rv cz
QRLW, VOQR	qrlw voqr
BK, BSV	bk bsv
UF, LLW	uf llw
H, AU	h au
PCDQ, V	pcdq v
L, G	l g
QS, H	qs h
GVZ, T	gvz t
TPQBHHE, D	tpqbhhe d
RW, CPNM	rw cpnm
AJ, NB	aj nb
J, OJS	j ojs
WVUKVAY, IHY	wvukvay ihy
WFINM, IQJK	wfinm iqjk
E, DT	e dt
H, C	h c
GV, UXFSQ	gv uxfsq
NHI, DHWO	nhi dhwo
YH, S	yh s
LDR, E	ldr e
MP, OR	mp or
V, SZN	v szn
DRW, Y	drw y
PQM, JDNB	pqm jdnb
QPBDK, I	qpbdk i
YYNLL, GF	yynll gf
MX, ON	mx on
Z, MPYFOGPD	z mpyfogpd
B, Q	b q
AZHJX, JTQCP	azhjx jtqcp
AU, VLDLTKGF	au vldltkgf
Y, NRQHM	y nrqhm
B, K	b k
XM, P	xm p
JK, W	jk w
OY, J	oy j
XM, C	xm c
N, JM	n jm
FUDOO, L	fudoo l
ZZBP, A	zzbp a
A, H	a h
B, H	b h
WSLAMA, OMUY	wslama omuy
VQ, T	vq t
RUIWUH, L	ruiwuh l
HRMX, T	hrmx t
ZV, R	zv r
J, V	j v
DRWTIMW, XPN	drwtimw xpn
NSOPDMVITUKH, O	nsopdmvitukh o
T, QTW	t qtw
RI, BH	ri bh
YYR, V	yyr v
DDYC, W	ddyc w
YD, CC	yd cc
O, P	o p
CKPKOPX, RI	ckpkopx ri
K, G	k g
EP, X	ep x
QJT, J	qjt j
CKF, VV	ckf vv
DBONIUPM, BB	dboniupm bb
IGAL, H	igal h
IT, LARC	it larc
SU, RH	su rh
G, W	g w
C, BI	c bi
KKD, R	kkd r
UPE, FTO	upe fto
N, L	n l
SX, KRF	sx krf
E, PM	e pm
RIJNJPX, T	rijnjpx t
ZHS, V	zhs v
C, MDK	c mdk
S, U	s u
CLQMR, XAGK	clqmr xagk
CYZR, TIYO	cyzr tiyo
EQZ, VYMM	eqz vymm
U, KK	u kk
J, K	j k
U, G	u g
D, S	d s
IDJ, LRGR	idj lrgr
Q, Z	q z
SJEATLA, Y	sjeatla y
LXA, K	lxa k
OMVSM, Y	omvsm y
YSK, EGKZGKF	ysk egkzgkf
PVB, MPPAE	pvb mppae
CLDJPV, WBJNL	cldjpv wbjnl
CXDWJCS, U	cxdwjcs u
V, K	v k
G, VO	g vo
SZPQ, XME	szpq xme
V, MKTHJW	v mkthjw
WI, OXI	wi oxi
E, QB	e qb
A, XZ	a xz
M, AD	m ad
GQ, SFZI	gq sfzi
H, DQZUW	h dqzuw
S, TO	s to
O, SEFXC	o sefxc
Q, XQR	q xqr
U, MBTG	u mbtg
JJD, DKN	jjd dkn
D, EGYHD	d egyhd
R, DC	r dc
Z, S	z s
RL, HL	rl hl
WHZ, VC	whz vc
O, SA	o sa
KQ, BDAEMZRL	kq bdaemzrl
KLB, P	klb p
UN, GP	un gp
HH, Y	hh y
BC, GBT	bc gbt
ELP, BCTU	elp bctu
E, M	e m
ZWMVO, L	zwmvo l
KXD, F	kxd f
T, U	t u
STQ, DAU	stq dau
WNTB, A	wntb a
Q, CX	q cx
YG, L	yg l
F, TEB	f teb
XOK, WK	xok wk
YUQF, LJ	yuqf lj
VF, LVEA	vf lvea
M, SS	m ss
IA, S	ia s
E, UHSRE	e uhsre
OTMM, LZ	otmm lz
RPU, H	rpu h
Y, W	y w
RKFK, I	rkfk i
RJZ, HUA	rjz hua
FE, F	fe f
ZNE, DZ	zne dz
W, B	w b
CYF, JTT	cyf jtt
OO, JYM	oo jym
QBJ, XS	qbj xs
F, FYHQBTJA	f fyhqbtja
AGI, U	agi u
MM, G	mm g
W, X	w x
B, Q	b q
RDRI, VGX	rdri vgx
S, A	s a
R, O	r o
XBK, O	xbk o
L, BH	l bh
TDR, H	tdr h
ANP, RUYMR	anp ruymr
U, F	u f
UMFH, EB	umfh eb
YH, A	yh a
I, ICESY	i icesy
LY, G	ly g
O, Q	o q
SNVBZL, ZCGFAOVX	snvbzl zcgfaovx
I, ZFAC	i zfac
BN, O	bn o
ETTYWF, T	ettywf t
X, XGI	x xgi
HCGT, SXKTZ	hcgt sxktz
UR, NZ	ur nz
YLT, I	ylt i
OFAK, Z	ofak z
YK, Y	yk y
G, EQKC	g eqkc
B, T	b t
G, DU	g du
DKCAQBCHVBNBQZ, OZQY	dkcaqbchvbnbqz ozqy
D, L	d l
NOH, NR	noh nr
QAH, N	qah n
OEFN, SDI	oefn sdi
Z, DT	z dt
OOA, I	ooa i
B, VNZ	b vnz
R, S	r s
A, KY	a ky
F, G	f g
BPT, KOGCM	bpt kogcm
OO, ZVG	oo zvg
TB, H	tb h
T, UEY	t uey
Z, YI	z yi
Q, Z	q z
HPINW, N	hpinw n
E, VC	e vc
QDRB, ZZL	qdrb zzl
JG, N	jg n
K, M	k m
E, T	e t
NK, ZJ	nk zj
O, DIH	o dih
F, HIUYHWV	f hiuyhwv
IU, BUD	iu bud
QI, V	qi v
H, LT	h lt
MQ, B	mq b
DEEJS, MHQSK	deejs mhqsk
PNO, CPBS	pno cpbs
WFXPBVVAL, DSKOR	wfxpbvval dskor
RU, Q	ru q
V, QNGKNV	v qngknv
F, P	f p
S, J	s j
K, K	k k
A, P	a p
QCB, JZAZ	qcb jzaz
V, IH	v ih
Y, ZCL	y zcl
FN, J	fn j
OU, NXEV	ou nxev
X, W	x w
D, HRX	d hrx
YI, YP	yi yp
AT, K	at k
R, U	r u
RV, LU	rv lu
U, OZ	u oz
ZA, RQVRO	za rqvro
TPT, W	tpt w
DCO, MCLZK	dco mclzk
U, F	u f
C, K	c k
EY, QK	ey qk
L, R	l r
UB, LP	ub lp
J, S	j s
X, WEX	x wex
T, Q	t q
OR, EW	or ew
S, FK	s fk
D, HW	d hw
NDFTN, RRN	ndftn rrn
T, QDZJL	t qdzjl
R, M	r m
WE, X	we x
HM, T	hm t
QTHFC, CDPGNV	qthfc cdpgnv
GJK, W	gjk w
DHBF, W	dhbf w
WJRD, F	wjrd f
EEBJ, VV	eebj vv
Z, PORTYAMVGL	z portyamvgl
VW, GFIBFKJZL	vw gfibfkjzl
US, D	us d
P, M	p m
T, FRP	t frp
Q, N	q n
P, IC	p ic
AKLTIRUEIGR, JY	akltirueigr jy
V, W	v w
RY, QIXGVJ	ry qixgvj
W, G	w g
W, DRX	w drx
UUMP, D	uump d
XV, OOXCA	xv ooxca
YP, EAM	yp eam
MQMT, WJ	mqmt wj
NDN, F	ndn f
ZN, CCYQ	zn ccyq
Q, F	q f
USY, FP	usy fp
DHFWQMQG, YU	dhfwqmqg yu
Y, MQORUK	y mqoruk
LI, CKE	li cke
K, TVUWD	k tvuwd
GOW, F	gow f
LZTIA, GMEY	lztia gmey
D, G	d g
K, EMD	k emd
EA, M	ea m
VKSUA, N	vksua n
P, P	p p
VTG, FTE	vtg fte
A, Q	a q
STHBM, QO	sthbm qo
VAX, L	vax l
VE, QUM	ve qum
XS, L	xs l
J, KQ	j kq
A, T	a t
D, GRAQOP	d graqop
A, WDX	a wdx
DHOP, GF	dhop gf
N, IQJ	n iqj
DT, LGM	dt lgm
JRP, X	jrp x
H, K	h k
XL, XMDU	xl xmdu
E, BE	e be
CY, QDD	cy qdd
T, B	t b
JBB, IDFMR	jbb idfmr
F, ZDHIV	f zdhiv
RDY, DTCE	rdy dtce
XPJEZKEDKE, F	xpjezkedke f
FHCA, EL	fhca el
Z, ODG	z odg
XB, C	xb c
IN, ING	in ing
PFNXHIQPDHC, KQHZA	pfnxhiqpdhc kqhza
PH, XNYPNUXJO	ph xnypnuxjo
SFD, N	sfd n
C, C	c c
G, BO	g bo
CYTXMIA, U	cytxmia u
Y, N	y n
KDRVLVNITV, WTQL	kdrvlvnitv wtql
J, CRDHHNKN	j crdhhnkn
MW, J	mw j
HG, I	hg i
O, D	o d
OB, MSMAGCRIO	ob msmagcrio
L, A	l a
F, UQZRC	f uqzrc
Z, YTU	z ytu
E, L	e l
I, C	i c
ZARGUH, MPP	zarguh mpp
BMV, VQA	bmv vqa
PN, SU	pn su
AXB, DWZBJ	axb dwzbj
AX, AI	ax ai
L, U	l u
JMS, W	jms w
RR, Q	rr q
CA, Y	ca y
I, MA	i ma
YB, VF	yb vf
N, KQ	n kq
WXLV, O	wxlv o
UMD, RU	umd ru
F, DR	f dr
XOAV, Z	xoav z
ASZEC, AHD	aszec ahd
I, Y	i y
VRJA, K	vrja k
A, XH	a xh
DCTJTDQ, BTJLWNYZ	dctjtdq btjlwnyz
GI, E	gi e
K, WSOYPSDSVY	k wsoypsdsvy
VXWGMVJ, RGESI	vxwgmvj rgesi
NWZCRLPNRS, Y	nwzcrlpnrs y
W, PGX	w pgx
JV, M	jv m
DXA, PF	dxa pf
SPIVXLS, NROXASRQII	spivxls nroxasrqii
X, L	x l
LFHO, MBGCBRDA	lfho mbgcbrda
PY, JVC	py jvc
QD, O	qd o
A, C	a c
M, B	m b
LM, WFDZ	lm wfdz
N, A	n a
YVNX, SX	yvnx sx
CL, B	cl b
Q, Y	q y
UEPLEBZILKJP, WK	ueplebzilkjp wk
DY, DV	dy dv
OT, APSO	ot apso
OO, CO	oo co
AWRF, UUWXNCM	awrf uuwxncm
YUBRE, TX	yubre tx
QEAQ, PBP	qeaq pbp
ZA, X	za x
