# _4C\n\nExplanation: \n	{"Pref"={"#comment"="_4C"}}{"Pref"={"Explanation"=""}}
# 2I\n	{"Pref"={"#comment"="2I"}}
# r\n	{"Pref"={"#comment"="r"}}
Explanation: 0I\n\nPackage: *\n\nExplanation: :\n\nPin: -u3Ez/\n\nPackage: r\n	{"Pref"={"Explanation"="0I"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=":"}}{"Pref"={"Pin"="-u3Ez/"}}{"Pref"={"Package"="r"}}
Pin-Priority: 71\n	{"Pref"={"Pin-Priority"="71"}}
Pin: 77\n\nExplanation: 8\n\nExplanation: \n\nPackage: *\n	{"Pref"={"Pin"="77"}}{"Pref"={"Explanation"="8"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n\nPin-Priority: 693\n\nPin-Priority: 81\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="693"}}{"Pref"={"Pin-Priority"="81"}}
Pin-Priority: 32\n\nPin-Priority: 4870267\n	{"Pref"={"Pin-Priority"="32"}}{"Pref"={"Pin-Priority"="4870267"}}
Pin: gGh-4\n\nPin-Priority: 84\n\nPin-Priority: 3\n\nPin-Priority: 5\n	{"Pref"={"Pin"="gGh-4"}}{"Pref"={"Pin-Priority"="84"}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin-Priority"="5"}}
# \n\nPackage: *\n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Explanation: L\n\nExplanation: RO90\n\nPackage: *\n	{"Pref"={"Explanation"="L"}}{"Pref"={"Explanation"="RO90"}}{"Pref"={"Package"="*"}}
Package: *\n\nPin: B\n\nExplanation: \n\nPackage: *\n\nPackage: *\n\nPin: vm\n\nPin: i\n\nPin: LaU\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="B"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="vm"}}{"Pref"={"Pin"="i"}}{"Pref"={"Pin"="LaU"}}
# \n\nPin-Priority: 0\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="0"}}
# U\n\n# \n\nPin: \n	{"Pref"={"#comment"="U"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}
Pin-Priority: 73\n\nPin: \n	{"Pref"={"Pin-Priority"="73"}}{"Pref"={"Pin"=""}}
Package:  \n\nPin-Priority: 29\n	{"Pref"={"Package"=" "}}{"Pref"={"Pin-Priority"="29"}}
# rNQ-\n\n# rFusf\n\nPackage: *\n\nExplanation: 4uXk\n\nPin: y\n\nPackage: *\n	{"Pref"={"#comment"="rNQ-"}}{"Pref"={"#comment"="rFusf"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="4uXk"}}{"Pref"={"Pin"="y"}}{"Pref"={"Package"="*"}}
Package: *\n	{"Pref"={"Package"="*"}}
# \n	{"Pref"={"#comment"=""}}
# \n\nPin-Priority: 09\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="09"}}
Explanation: Hgb\n\nPackage: G=\n\nPackage: \n\nPin: \n	{"Pref"={"Explanation"="Hgb"}}{"Pref"={"Package"="G="}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}
Explanation: \n\nPin: X\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="X"}}
Explanation: oH\n\nPin: \n	{"Pref"={"Explanation"="oH"}}{"Pref"={"Pin"=""}}
Pin-Priority: 69\n\n# 7\n\nPackage: *\n\nPackage: \n\nExplanation: Z=u\n	{"Pref"={"Pin-Priority"="69"}}{"Pref"={"#comment"="7"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"="Z=u"}}
Pin: X\n	{"Pref"={"Pin"="X"}}
Explanation: CHB\n	{"Pref"={"Explanation"="CHB"}}
Package: b=7y\n	{"Pref"={"Package"="b=7y"}}
Package: *\n\nPin-Priority: 665\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="665"}}
Explanation: x-E\n\nPin-Priority: 2\n\n#  '\n\nPackage: *\n\nPin-Priority: 2\n\nPackage: *\n\nExplanation: Xr6a\n\n# D7\n\nPackage: *\n\n# \n	{"Pref"={"Explanation"="x-E"}}{"Pref"={"Pin-Priority"="2"}}{"Pref"={"#comment"=" '"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="Xr6a"}}{"Pref"={"#comment"="D7"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}
# 1d_R\n\nPin-Priority: 0\n\nExplanation: 61xbL\n\nPackage: *\n\nExplanation: O\n	{"Pref"={"#comment"="1d_R"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Explanation"="61xbL"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="O"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 69\n\nPin-Priority: 6\n\nPin: \n\nPin-Priority: 6\n\nPin: U=\n	{"Pref"={"Pin-Priority"="69"}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin"="U="}}
Explanation: \n\nPin: "\n\nPackage: k\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="""}}{"Pref"={"Package"="k"}}
Explanation: \n\n# \n\n# cm\n\n# .\n\nExplanation: \n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="cm"}}{"Pref"={"#comment"="."}}{"Pref"={"Explanation"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: \n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Package: G\n	{"Pref"={"Package"="G"}}
Pin-Priority: 3\n	{"Pref"={"Pin-Priority"="3"}}
Pin-Priority: 44540\n\nExplanation: CV\n\n# m\n	{"Pref"={"Pin-Priority"="44540"}}{"Pref"={"Explanation"="CV"}}{"Pref"={"#comment"="m"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 821013\n	{"Pref"={"Pin-Priority"="821013"}}
Pin-Priority: 854\n\nPackage: *\n\nExplanation: REz\n\nExplanation: U\n\nExplanation: \n	{"Pref"={"Pin-Priority"="854"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="REz"}}{"Pref"={"Explanation"="U"}}{"Pref"={"Explanation"=""}}
Explanation: \n\nExplanation: PSu\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="PSu"}}
Pin-Priority: 69\n	{"Pref"={"Pin-Priority"="69"}}
Explanation: \n\nPin-Priority: 1\n\nPin: \n\nPin: \n\nPackage: ve\n\nPin-Priority: 25320168\n\nPackage: *\n\nPackage: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="ve"}}{"Pref"={"Pin-Priority"="25320168"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}
Explanation: \n\n# E7V\n\n# \n\n# \n\nPackage: o-XX\n\nPin-Priority: 9\n\nExplanation: \n\nPackage: .n\n\nPin-Priority: 7\n\nExplanation: \n\nPin-Priority: 2067\n\n# t=i\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="E7V"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="o-XX"}}{"Pref"={"Pin-Priority"="9"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"=".n"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="2067"}}{"Pref"={"#comment"="t=i"}}
Pin-Priority: 23\n\nExplanation: \n\nPackage: q\n\nPin: \n\nPin: D\n\n# t\n\nExplanation: \n	{"Pref"={"Pin-Priority"="23"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="q"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="D"}}{"Pref"={"#comment"="t"}}{"Pref"={"Explanation"=""}}
Pin: aJLP\n\nPin-Priority: 8264097\n\nPackage: *\n\nExplanation: 8Q\n\n# O\n	{"Pref"={"Pin"="aJLP"}}{"Pref"={"Pin-Priority"="8264097"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="8Q"}}{"Pref"={"#comment"="O"}}
Explanation: p\n	{"Pref"={"Explanation"="p"}}
Explanation: Ysx2=fU\n	{"Pref"={"Explanation"="Ysx2=fU"}}
Pin-Priority: 36\n\nPin-Priority: 92\n	{"Pref"={"Pin-Priority"="36"}}{"Pref"={"Pin-Priority"="92"}}
Package: :aE\n\nPin-Priority: 4\n	{"Pref"={"Package"=":aE"}}{"Pref"={"Pin-Priority"="4"}}
Pin: O1k\n\nPackage: *\n\nPackage: e\n\n# ewKb5s64\n	{"Pref"={"Pin"="O1k"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="e"}}{"Pref"={"#comment"="ewKb5s64"}}
# \n\n# -\n\n# \n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"="-"}}{"Pref"={"#comment"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 54\n\nPin-Priority: 38\n\nExplanation: \n	{"Pref"={"Pin-Priority"="54"}}{"Pref"={"Pin-Priority"="38"}}{"Pref"={"Explanation"=""}}
Explanation: \n\nPackage: a\n\nExplanation: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="a"}}{"Pref"={"Explanation"=""}}
Explanation: Y\n	{"Pref"={"Explanation"="Y"}}
Pin: wN\n	{"Pref"={"Pin"="wN"}}
Pin-Priority: 3\n	{"Pref"={"Pin-Priority"="3"}}
Pin-Priority: 248\n\n# 0T5u\n	{"Pref"={"Pin-Priority"="248"}}{"Pref"={"#comment"="0T5u"}}
# KT6\n\nPin: HgrN\n\nPackage: \n	{"Pref"={"#comment"="KT6"}}{"Pref"={"Pin"="HgrN"}}{"Pref"={"Package"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: 5S\n\nExplanation: q\n\nPin: _\n\n# +Z\n	{"Pref"={"Package"="5S"}}{"Pref"={"Explanation"="q"}}{"Pref"={"Pin"="_"}}{"Pref"={"#comment"="+Z"}}
Explanation: I\n\nPin: \n\nPin-Priority: 1290\n\nPackage: +pM+\n\nPackage: *\n	{"Pref"={"Explanation"="I"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="1290"}}{"Pref"={"Package"="+pM+"}}{"Pref"={"Package"="*"}}
Pin-Priority: 06\n	{"Pref"={"Pin-Priority"="06"}}
Explanation: .W\n\n# \n\nExplanation: cJ l\n\nPackage: .U\n	{"Pref"={"Explanation"=".W"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="cJ l"}}{"Pref"={"Package"=".U"}}
Pin-Priority: 5520933\n	{"Pref"={"Pin-Priority"="5520933"}}
Pin-Priority: 18\n	{"Pref"={"Pin-Priority"="18"}}
Pin-Priority: 7\n\nPin-Priority: 8\n	{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin-Priority"="8"}}
# \n	{"Pref"={"#comment"=""}}
Pin-Priority: 5\n	{"Pref"={"Pin-Priority"="5"}}
Pin-Priority: 9144\n\nPin: \n\nExplanation: 1RQ6V\n	{"Pref"={"Pin-Priority"="9144"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="1RQ6V"}}
Pin: 4\n\nPin: 8YzYZ\n\nPin: \n\nPackage: *\n\nPin: \n	{"Pref"={"Pin"="4"}}{"Pref"={"Pin"="8YzYZ"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}
Explanation: \n\nPin-Priority: 1\n\n# \n\nExplanation: Q\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="Q"}}
# \n\nPin: :\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"=":"}}
# \n	{"Pref"={"#comment"=""}}
# D\n\nExplanation: R\n	{"Pref"={"#comment"="D"}}{"Pref"={"Explanation"="R"}}
Pin-Priority: 4551\n	{"Pref"={"Pin-Priority"="4551"}}
Pin-Priority: 0\n	{"Pref"={"Pin-Priority"="0"}}
Package: *\n\nPackage: 1\n\nExplanation: ms\n\nExplanation: IU\n\nExplanation: K2FXS0Rnu\n\nExplanation: G\n\n# \n\nPin-Priority: 6\n\nPin: g\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="1"}}{"Pref"={"Explanation"="ms"}}{"Pref"={"Explanation"="IU"}}{"Pref"={"Explanation"="K2FXS0Rnu"}}{"Pref"={"Explanation"="G"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin"="g"}}
Explanation: o6\n	{"Pref"={"Explanation"="o6"}}
Pin: Y\n\nPin-Priority: 4\n\nExplanation: GM\n	{"Pref"={"Pin"="Y"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Explanation"="GM"}}
# UOk\n\nPackage: *\n	{"Pref"={"#comment"="UOk"}}{"Pref"={"Package"="*"}}
# \n	{"Pref"={"#comment"=""}}
Pin: RG\n	{"Pref"={"Pin"="RG"}}
Pin-Priority: 98894\n	{"Pref"={"Pin-Priority"="98894"}}
Pin: +F\n	{"Pref"={"Pin"="+F"}}
Pin-Priority: 8\n	{"Pref"={"Pin-Priority"="8"}}
Explanation: WpM\n\nPackage: *\n	{"Pref"={"Explanation"="WpM"}}{"Pref"={"Package"="*"}}
# \n	{"Pref"={"#comment"=""}}
# \n	{"Pref"={"#comment"=""}}
Pin: GlqO/\n\n# z0=\n\nExplanation: \n	{"Pref"={"Pin"="GlqO/"}}{"Pref"={"#comment"="z0="}}{"Pref"={"Explanation"=""}}
Explanation: _\n\nExplanation:  \n\n# 0nFt\n	{"Pref"={"Explanation"="_"}}{"Pref"={"Explanation"=" "}}{"Pref"={"#comment"="0nFt"}}
Pin: \n\nPin: y4\n\nExplanation: M4O\n\nPackage: *\n\nPackage: *\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="y4"}}{"Pref"={"Explanation"="M4O"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Package: *\n	{"Pref"={"Package"="*"}}
# n\n\nExplanation: eAt\n\nPin: \n	{"Pref"={"#comment"="n"}}{"Pref"={"Explanation"="eAt"}}{"Pref"={"Pin"=""}}
Pin-Priority: 4311\n\nExplanation: \n	{"Pref"={"Pin-Priority"="4311"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 6\n\nPin-Priority: 8\n\nExplanation: FyV\n\nExplanation: H/\n\nPackage: *\n\nExplanation: Gpi1vN quTMK\n	{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Explanation"="FyV"}}{"Pref"={"Explanation"="H/"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="Gpi1vN quTMK"}}
Pin-Priority: 9\n\nPin: M\n\nExplanation: zz\n	{"Pref"={"Pin-Priority"="9"}}{"Pref"={"Pin"="M"}}{"Pref"={"Explanation"="zz"}}
# Y\n\nPin-Priority: 2\n	{"Pref"={"#comment"="Y"}}{"Pref"={"Pin-Priority"="2"}}
Explanation: \n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
# \n\nPackage: \n	{"Pref"={"#comment"=""}}{"Pref"={"Package"=""}}
Pin: Bp\n	{"Pref"={"Pin"="Bp"}}
# \n\nPin: DIb\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"="DIb"}}
Pin-Priority: 0\n\nPin-Priority: 25\n	{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin-Priority"="25"}}
Pin: \n\nPackage: \n\nPackage: *\n\nPin-Priority: 49402\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="49402"}}
Package: Y\n\nPin: u\n	{"Pref"={"Package"="Y"}}{"Pref"={"Pin"="u"}}
Pin-Priority: 0\n\nExplanation: :\n	{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Explanation"=":"}}
Pin: \n\nPin-Priority: 81687\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="81687"}}
Pin: \n\nPin-Priority: 9\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="9"}}
Pin: b\n	{"Pref"={"Pin"="b"}}
Package: cY'cwvyXnVkH\n	{"Pref"={"Package"="cY'cwvyXnVkH"}}
Explanation: \n\nPin: T5\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="T5"}}
# \n	{"Pref"={"#comment"=""}}
Pin: \n\nPin: 4aOb\n\n# Ew\n\n# HFwF\n\nPin: \n\nExplanation: D:Z\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="4aOb"}}{"Pref"={"#comment"="Ew"}}{"Pref"={"#comment"="HFwF"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="D:Z"}}
# z\n\n# \n\n# P\n	{"Pref"={"#comment"="z"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="P"}}
Package: *\n	{"Pref"={"Package"="*"}}
# 3Gt5\n\nPin: IT\n\nPackage: K8:\n\nPin-Priority: 76\n	{"Pref"={"#comment"="3Gt5"}}{"Pref"={"Pin"="IT"}}{"Pref"={"Package"="K8:"}}{"Pref"={"Pin-Priority"="76"}}
Pin: 4Hk\n	{"Pref"={"Pin"="4Hk"}}
Package: *\n\nPin: \n\nPackage: =2\n\nPackage: \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="=2"}}{"Pref"={"Package"=""}}
Pin-Priority: 4\n\nPin-Priority: 6628\n\nPin-Priority: 7861\n\nExplanation: Dw\n\n#  v\n	{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Pin-Priority"="6628"}}{"Pref"={"Pin-Priority"="7861"}}{"Pref"={"Explanation"="Dw"}}{"Pref"={"#comment"=" v"}}
Package: \n\nPin: x_W\n\nExplanation: p\n\nPackage: *\n\nExplanation: kYy4K\n	{"Pref"={"Package"=""}}{"Pref"={"Pin"="x_W"}}{"Pref"={"Explanation"="p"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="kYy4K"}}
Pin: \n\nPackage: W\n\nPin-Priority: 2\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="W"}}{"Pref"={"Pin-Priority"="2"}}
# \n\nPin-Priority: 7\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="7"}}
Explanation: .m=.i\n	{"Pref"={"Explanation"=".m=.i"}}
Pin-Priority: 397\n\nExplanation: 6\n\nExplanation: \n\n# d\n\nPin-Priority: 630\n\nPin-Priority: 4\n	{"Pref"={"Pin-Priority"="397"}}{"Pref"={"Explanation"="6"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="d"}}{"Pref"={"Pin-Priority"="630"}}{"Pref"={"Pin-Priority"="4"}}
Pin-Priority: 7\n	{"Pref"={"Pin-Priority"="7"}}
Pin-Priority: 210\n\nPin: R\n\nPin: zsi\n\nExplanation: W:\n\nPin-Priority: 71353\n\nPackage: f\n\nExplanation: :\n	{"Pref"={"Pin-Priority"="210"}}{"Pref"={"Pin"="R"}}{"Pref"={"Pin"="zsi"}}{"Pref"={"Explanation"="W:"}}{"Pref"={"Pin-Priority"="71353"}}{"Pref"={"Package"="f"}}{"Pref"={"Explanation"=":"}}
# \n\n# 4\n\n# R\n\nExplanation: \n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"="4"}}{"Pref"={"#comment"="R"}}{"Pref"={"Explanation"=""}}
Package: _ \n	{"Pref"={"Package"="_ "}}
# \n	{"Pref"={"#comment"=""}}
Explanation: 0T\n	{"Pref"={"Explanation"="0T"}}
Pin: \n	{"Pref"={"Pin"=""}}
# z\n	{"Pref"={"#comment"="z"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: \n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Pin-Priority: 2\n\nPin-Priority: 22\n\nPackage: .'x4_\n	{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Pin-Priority"="22"}}{"Pref"={"Package"=".'x4_"}}
Explanation: 1"\n\nPackage: *\n\nPin-Priority: 3\n	{"Pref"={"Explanation"="1""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="3"}}
Package: \n\nPin-Priority: 3\n	{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="3"}}
# .\n	{"Pref"={"#comment"="."}}
Pin: hy\n	{"Pref"={"Pin"="hy"}}
Explanation: w.\n\nPackage: \n\n# \n\nExplanation: 0\n\nPin-Priority: 3\n	{"Pref"={"Explanation"="w."}}{"Pref"={"Package"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="0"}}{"Pref"={"Pin-Priority"="3"}}
Pin: YK\n\nPackage: m\n	{"Pref"={"Pin"="YK"}}{"Pref"={"Package"="m"}}
Pin: \n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Pin-Priority: 87\n	{"Pref"={"Pin-Priority"="87"}}
# \n	{"Pref"={"#comment"=""}}
# \n	{"Pref"={"#comment"=""}}
Package: \n\nPackage: *\n\nExplanation: FY\n\nExplanation: K\n\nPin-Priority: 0\n	{"Pref"={"Package"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="FY"}}{"Pref"={"Explanation"="K"}}{"Pref"={"Pin-Priority"="0"}}
Package: 0\n\n# u/\n\nPin-Priority: 1966\n\nPin-Priority: 9\n	{"Pref"={"Package"="0"}}{"Pref"={"#comment"="u/"}}{"Pref"={"Pin-Priority"="1966"}}{"Pref"={"Pin-Priority"="9"}}
Package: \n	{"Pref"={"Package"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin:  wcT78ct\n\nPin: \n	{"Pref"={"Pin"=" wcT78ct"}}{"Pref"={"Pin"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: 6\n\nPackage: \n\nPackage: ULBeQ\n\nPackage: 'p_+"/8RWF3\n\nPin-Priority: 64\n\nExplanation: fs\n	{"Pref"={"Package"="6"}}{"Pref"={"Package"=""}}{"Pref"={"Package"="ULBeQ"}}{"Pref"={"Package"="'p_+"/8RWF3"}}{"Pref"={"Pin-Priority"="64"}}{"Pref"={"Explanation"="fs"}}
Explanation: hu\n	{"Pref"={"Explanation"="hu"}}
Pin-Priority: 8\n\nExplanation: :\n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Explanation"=":"}}
# HFc\n\nPin-Priority: 4\n\nPin: I\n	{"Pref"={"#comment"="HFc"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Pin"="I"}}
Explanation: NMO\n	{"Pref"={"Explanation"="NMO"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# Cf\n\nPackage: *\n	{"Pref"={"#comment"="Cf"}}{"Pref"={"Package"="*"}}
Explanation: va\n\nExplanation: z\n	{"Pref"={"Explanation"="va"}}{"Pref"={"Explanation"="z"}}
Pin-Priority: 264\n\nExplanation: d\n\n# \n	{"Pref"={"Pin-Priority"="264"}}{"Pref"={"Explanation"="d"}}{"Pref"={"#comment"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: vI7B\n\n# H\n\nPin: e\n	{"Pref"={"Pin"="vI7B"}}{"Pref"={"#comment"="H"}}{"Pref"={"Pin"="e"}}
Explanation: J\n\nExplanation: vw\n	{"Pref"={"Explanation"="J"}}{"Pref"={"Explanation"="vw"}}
Pin: Gmv\n\nPin-Priority: 2\n	{"Pref"={"Pin"="Gmv"}}{"Pref"={"Pin-Priority"="2"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: k\n\nExplanation: \n\nPin: \n	{"Pref"={"Pin"="k"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# \n	{"Pref"={"#comment"=""}}
Explanation: =\n\nExplanation: \n\nPin-Priority: 0312\n	{"Pref"={"Explanation"="="}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="0312"}}
# cz\n	{"Pref"={"#comment"="cz"}}
Explanation: -\n\nPin: m\n\nPin: \n\nPackage: \n	{"Pref"={"Explanation"="-"}}{"Pref"={"Pin"="m"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"=""}}
Pin-Priority: 2\n\nExplanation: \n\n# \n\n# Yt\n\nPin: xIA"O\n\nPin-Priority: 9\n	{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="Yt"}}{"Pref"={"Pin"="xIA"O"}}{"Pref"={"Pin-Priority"="9"}}
# bEd\n\nPackage: hcL\n\n# a W\n\nPin-Priority: 2\n\nPin: /WHY\n	{"Pref"={"#comment"="bEd"}}{"Pref"={"Package"="hcL"}}{"Pref"={"#comment"="a W"}}{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Pin"="/WHY"}}
Pin-Priority: 133\n\n# \n	{"Pref"={"Pin-Priority"="133"}}{"Pref"={"#comment"=""}}
Explanation: dI\n\nExplanation: \n\nPackage: *\n\nExplanation: \n\nPackage: *\n\nPackage: f2\n	{"Pref"={"Explanation"="dI"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="f2"}}
Pin-Priority: 0\n	{"Pref"={"Pin-Priority"="0"}}
Explanation: \n\nPin-Priority: 009\n\nExplanation: RS\n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="009"}}{"Pref"={"Explanation"="RS"}}{"Pref"={"Package"="*"}}
# 8Hb\n\nPin: \n	{"Pref"={"#comment"="8Hb"}}{"Pref"={"Pin"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 0\n\n# 1I\n\nExplanation: n3zJK\n\nPackage: *\n	{"Pref"={"Pin-Priority"="0"}}{"Pref"={"#comment"="1I"}}{"Pref"={"Explanation"="n3zJK"}}{"Pref"={"Package"="*"}}
# U\n	{"Pref"={"#comment"="U"}}
Package: *\n\n# \n\nPin-Priority: 977\n\nPackage: JaPxzP\n\nPin: +ze\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="977"}}{"Pref"={"Package"="JaPxzP"}}{"Pref"={"Pin"="+ze"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: *\n\nPin-Priority: 11\n\n# KjHT7\n\nPin-Priority: 9\n\nPackage: eoR\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="11"}}{"Pref"={"#comment"="KjHT7"}}{"Pref"={"Pin-Priority"="9"}}{"Pref"={"Package"="eoR"}}
Package: ofe\n\nPin-Priority: 7\n	{"Pref"={"Package"="ofe"}}{"Pref"={"Pin-Priority"="7"}}
Explanation: n\n	{"Pref"={"Explanation"="n"}}
# \n\nExplanation: vf\n\n# \n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="vf"}}{"Pref"={"#comment"=""}}
Explanation: gr:\n\nPin: 2W\n\nPackage: *\n\nPin: TQY\n	{"Pref"={"Explanation"="gr:"}}{"Pref"={"Pin"="2W"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="TQY"}}
